date,"Advanced degree","Bachelor's degree","High school","Less than high school","Some college"
1973-01-01,38.21558077715965,32.87560179321062,22.279732125153377,18.117786871335813,24.17089635227057
1974-01-01,38.54174187308285,31.879928315367845,21.685716109838037,17.788183836825965,23.435967318616743
1975-01-01,38.55222346794814,31.642842114517478,21.67455060940116,17.30025937554691,23.483805684834984
1976-01-01,37.599037520245204,31.536939838035813,21.820574066386996,17.5655914920552,23.552313384317777
1977-01-01,37.47932578390922,31.175354431018345,21.623197559757344,17.671332181108827,23.091195256948346
1978-01-01,37.612271062364535,30.941823536093914,21.546740409284777,17.311617453945363,23.275306928888213
1979-01-01,36.24105251177573,30.614955127001284,21.6480295777637,17.975152776207207,23.230776203060355
1980-01-01,35.63005319481526,30.120483576203522,20.956943780510127,17.46365542064278,22.79648262643679
1981-01-01,35.378534907824005,30.22469428004256,20.711792003852892,17.101563473088397,22.507573853431328
1982-01-01,36.143982972906656,30.603993642833945,20.686543737000243,16.754092995634863,22.464493095436445
1983-01-01,36.86373516822191,30.80079709426554,20.47998400955802,16.469764771544114,22.335105046051677
1984-01-01,37.534301690742865,31.138019330447452,20.348361269606198,16.247220778578757,22.420739646832025
1985-01-01,38.407361721723966,31.579219340527406,20.452649712935642,16.123242157581682,22.65355085226559
1986-01-01,40.02169018244264,32.78204612912647,20.680867851390595,16.153298988068357,23.1966626705595
1987-01-01,40.71968327665001,33.32712170518475,20.68269830458286,15.819375901255118,23.26709459235582
1988-01-01,41.25571740376011,33.51412288502619,20.731117105485524,15.836891104069466,23.100200703804735
1989-01-01,39.922434318859295,31.988990379157205,20.133871670163753,15.51008045408171,22.68231568604316
1990-01-01,40.0942482158256,32.330604429026494,19.81364615079461,15.105704505639407,22.668901192951726
1991-01-01,40.86333695525487,31.991323754609287,19.839416866501708,15.04853882033277,22.57905474133974
1992-01-01,41.071979141130804,32.2681414738843,19.714712932693818,14.916433984451153,22.329410790253107
1993-01-01,41.60411672178425,32.28025374111169,19.720208433728875,14.652345162029816,22.355413830284594
1994-01-01,43.57678070844908,32.81388451605635,19.933821134450195,14.371011777122796,22.323863533817565
1995-01-01,43.404170873357465,32.959113834718366,19.73971777571287,13.995559314340056,22.112997599852015
1996-01-01,43.49177023238974,32.6122244689067,19.689390502717835,14.000568300993672,22.180560478256055
1997-01-01,43.839421753492466,33.560810209074326,20.019282548253482,14.118842891314717,22.619419234703784
1998-01-01,44.64367098828156,35.095570660069,20.458882375046624,14.620398338618113,23.103222511476115
1999-01-01,46.20713252542093,35.90385272347686,20.749913927111937,14.67195542257652,23.450044243480548
2000-01-01,46.14704924754757,36.566753263321864,20.874378714251264,14.719505427073875,23.764864488223665
2001-01-01,46.65731623528349,37.41627829801556,21.295053801250926,15.023156321266018,24.27631891170555
2002-01-01,47.96094663911306,37.727716339508326,21.660161415261104,15.371983946137622,24.55457532868448
2003-01-01,47.46207446549644,37.6792433871246,21.81309431438542,15.489744392640896,24.535522164291834
2004-01-01,48.2606860444563,37.37969336030609,21.676314171774752,15.374686898136094,24.506385094550836
2005-01-01,48.09162936762269,37.679330136641966,21.517885464817336,15.276499480936328,24.2612780727115
2006-01-01,48.392061421380554,37.90467927082505,21.68808199281306,15.267709297955431,24.278203619615937
2007-01-01,48.601927912020194,38.24900843577622,21.61802864722399,15.60308855198856,24.49508508997558
2008-01-01,48.93003484757432,38.11697369337697,21.53480546766216,15.520587680027596,24.207626654790296
2009-01-01,50.57292198627176,38.40259055887903,22.05679737833899,15.864708974071076,24.527714294465
2010-01-01,50.38838444144352,38.629730777249485,21.745903276029868,15.532408973589973,24.324865800322595
2011-01-01,49.13085098204613,37.64122494087769,21.345618425536436,15.44906814343904,23.655492971049778
2012-01-01,50.16272815732839,38.04319104020723,21.218015237520195,15.316791666071296,23.345383887677176
2013-01-01,50.36241919636385,38.39479869693357,21.07673242064104,15.168937520921144,23.34728094083192
2014-01-01,49.1740812951084,37.94107836687646,21.161024073002714,15.248770583966564,23.386503008088233
2015-01-01,50.498383743748995,39.58602445201438,21.699604727776315,15.901461159916563,24.166827328405653
2016-01-01,51.97778053333576,40.55722188537811,21.98532959329106,16.173565060323913,24.45038611948779
2017-01-01,51.92247952705048,40.625274216587606,22.350240612882846,16.732279635474686,24.50610071455052
2018-01-01,53.86446532094031,41.02412860151931,22.697656712697043,16.821721285846895,25.010643413074266
2019-01-01,54.607668264115,41.94791540327435,22.914384213742082,17.062315451863885,25.413321499224452
2020-01-01,57.02311283915925,44.19192775313555,24.09201614367782,18.061650173753158,26.999538787128103
2021-01-01,56.82324077090946,43.93288170011315,23.68678479157888,17.797899813632107,26.49738929215057
2022-01-01,56.73725580034004,44.34586672787419,23.390593213045047,17.616057433959153,26.44296733081388
2023-01-01,56.937376152882706,44.48154090067336,23.521052555174755,17.94312285639804,26.746920462744754
2024-01-01,56.58393203770681,43.714868254251364,23.734355095285107,18.018635816616516,26.78895429297762